"t_ms","private_mb","working_mb"
"170546","128.5","141.8"
"170766","128.5","141.8"
"170986","128.5","141.8"
"171203","128.5","141.8"
"171423","128.5","141.7"
"171643","128.5","141.7"
"171865","128.5","141.7"
"172084","128.7","141.8"
"172303","128.8","141.8"
"172525","128.7","141.8"
"172748","128.7","141.8"
"172970","128.7","141.8"
"173190","130.4","143.7"
"173408","130.4","143.7"
"173618","130.4","143.7"
"173837","130.4","143.6"
"174058","130.4","143.6"
"174278","130.4","143.6"
"174496","130.4","143.6"
"174716","130.4","143.6"
"174939","130.4","143.6"
"175169","130.6","143.8"
"175385","130.7","143.8"
"175605","130.7","143.8"
"175816","130.7","143.8"
"176031","130.6","143.8"
"176239","132.5","145.6"
"176457","132.5","145.6"
"176673","132.5","145.6"
"176894","132.5","145.6"
"177103","132.5","145.6"
"177313","132.5","145.6"
"177530","132.5","145.6"
"177747","132.5","145.6"
"177966","132.5","145.6"
"178172","132.7","145.7"
"178396","132.8","145.7"
"178613","132.8","145.7"
"178829","132.7","145.7"
"179051","134.4","147.5"
"179261","134.4","147.5"
"179478","134.4","147.5"
"179697","134.4","147.5"
"179916","134.4","147.4"
"180127","134.4","147.4"
"180349","134.4","147.4"
"180568","134.4","147.4"
"180778","134.6","147.5"
"181004","134.8","147.7"
"181220","135","147.9"
"181431","135","147.9"
"181637","135","147.9"
"181854","136.7","149.5"
"182076","136.7","149.5"
"182299","136.7","149.5"
"182518","136.7","149.5"
"182740","136.7","149.5"
"182962","136.7","149.6"
"183169","136.7","149.6"
"183394","136.7","149.6"
"183609","136.7","149.6"
"183828","136.7","149.6"
"184038","136.8","149.8"
"184247","136.8","149.8"
"184456","136.8","149.8"
"184677","138.6","151.5"
"184899","138.6","151.5"
"185118","138.6","151.5"
"185338","138.6","151.5"
"185547","138.6","151.4"
"185769","138.6","151.4"
"185988","138.6","151.4"
"186199","138.6","151.4"
"186406","138.6","151.4"
"186624","138.9","151.5"
"186844","138.8","151.5"
"187067","138.8","151.5"
"187286","138.8","151.5"
"187495","140.5","153.2"
"187715","140.5","153.2"
"187935","140.5","153.2"
"188156","140.5","153.2"
"188362","140.5","153.3"
"188571","140.5","153.2"
"188784","140.5","153.2"
"188992","140.5","153.2"
"189202","140.7","153.4"
"189424","140.8","153.4"
"189640","140.8","153.4"
"189848","140.7","153.4"
"190069","140.7","153.4"
"190289","142.4","155.1"
"190502","142.4","155.1"
"190712","142.4","155.1"
"190919","142.4","155.1"
"191139","142.4","155.1"
"191347","142.4","155.1"
"191567","142.4","155.1"
"191785","142.4","155.1"
"192005","142.6","155.3"
"192219","142.7","155.3"
"192441","142.7","155.3"
"192663","142.6","155.3"
"192884","144.4","157"
"193103","144.4","157"
"193323","144.4","157"
"193542","144.4","157"
"193753","144.4","157"
"193972","144.4","157"
"194191","144.4","157"
"194410","144.4","157"
"194616","144.4","157"
"194822","144.6","157.2"
"195044","144.7","157.2"
"195260","144.7","157.2"
"195473","144.7","157.2"
"195682","146.3","159"
"195897","146.3","159"
"196104","146.3","159"
"196315","146.3","159"
"196531","146.3","158.9"
"196739","146.3","158.9"
"196960","146.3","158.9"
"197178","146.3","158.9"
"197399","146.5","159.1"
"197619","146.6","159.1"
"197838","146.5","159.1"
"198054","146.5","159.1"
"198269","148.2","160.9"
"198488","148.2","160.9"
"198707","148.2","160.9"
"198921","148.2","160.9"
"199140","148.2","160.9"
"199359","148.2","160.9"
"199577","148.2","160.9"
"199794","148.4","160.9"
"200013","148.4","160.9"
"200221","148.6","161.3"
"200430","148.8","161.3"
"200649","148.8","161.3"
"200868","148.8","161.3"
"201075","150.5","162.9"
"201294","150.5","162.9"
"201515","150.5","162.9"
"201733","150.5","162.9"
"201954","150.5","163.1"
"202176","150.5","163"
"202396","150.5","163"
"202614","150.5","163"
"202819","150.7","163.2"
"203029","150.8","163.2"
"203246","150.8","163.2"
"203467","150.7","163.2"
"203683","152.4","164.9"
"203898","152.4","164.9"
"204119","152.4","164.9"
"204339","152.4","164.9"
"204557","152.4","164.9"
"204768","152.4","164.9"
"204988","152.4","164.9"
"205206","152.4","164.9"
"205427","152.4","164.9"
"205641","152.6","165.1"
"205860","152.6","165.1"
"206080","152.6","165.1"
"206303","152.6","165.1"
"206517","154.4","166.8"
"206735","154.4","166.8"
"206955","154.4","166.8"
"207172","154.4","166.7"
"207380","154.4","166.8"
"207588","154.4","166.8"
"207802","154.4","166.8"
"208022","154.4","166.8"
"208229","154.6","166.9"
"208436","154.7","166.9"
"208656","154.7","166.9"
"208876","154.6","166.9"
"209098","154.6","166.9"
"209305","156.3","168.6"
"209524","156.3","168.6"
"209731","156.3","168.6"
"209941","156.3","168.6"
"210160","156.3","168.7"
"210381","156.3","168.7"
"210596","156.3","168.6"
"210806","156.3","168.7"
"211026","156.3","168.7"
"211242","156.5","168.8"
"211452","156.6","168.8"
"211669","156.6","168.8"
"211876","156.5","168.8"
"212093","158.2","170.5"
"212301","158.2","170.5"
"212516","158.2","170.5"
"212733","158.2","170.5"
"212954","158.2","170.5"
"213177","158.2","170.5"
"213395","158.2","170.5"
"213616","158.2","170.6"
"213825","158.2","170.6"
"214033","158.4","170.7"
"214242","158.5","170.7"
"214451","158.5","170.7"
"214666","158.5","170.7"
"214887","160.2","172.4"
"215107","160.2","172.4"
"215333","160.2","172.4"
"215552","160.2","172.4"
"215758","160.2","172.4"
"215978","160.2","172.4"
"216197","160.2","172.4"
"216414","160.2","172.4"
"216617","160.4","172.6"
"216835","160.4","172.6"
"217057","160.4","172.6"
"217264","160.4","172.6"
"217483","160.4","172.6"
"217703","162.2","174.4"
"217918","162.2","174.4"
"218138","162.2","174.4"
"218355","162.2","174.4"
"218563","162.2","174.4"
"218781","162.2","174.4"
"218991","162.2","174.5"
"219214","162.2","174.5"
"219432","162.5","174.6"
"219648","162.5","174.6"
"219858","162.5","174.6"
"220076","162.5","174.6"
"220293","164.2","176.3"
"220507","164.2","176.3"
"220726","164.2","176.3"
"220934","164.2","176.3"
"221152","164.2","176.3"
"221360","164.2","176.3"
"221581","164.2","176.2"
"221803","164.2","176.3"
"222024","164.2","176.3"
"222242","164.4","176.4"
"222450","164.5","176.4"
"222660","164.4","176.4"
"222876","164.4","176.4"
"223097","166.2","178.2"
"223308","166.2","178.2"
"223528","166.2","178.2"
"223749","166.2","178.2"
"223955","166.2","178.2"
"224183","166.2","178.2"
"224400","166.2","178.3"
"224623","166.2","178.3"
"224839","166.5","178.4"
"225050","166.5","178.4"
"225270","166.5","178.4"
"225483","166.5","178.4"
"225704","168.3","180.2"
"225919","168.3","180.2"
"226140","168.3","180.2"
"226356","168.3","180.2"
"226565","168.3","180.2"
"226776","168.3","180.2"
"226994","168.3","180.2"
"227214","168.3","180.2"
"227423","168.3","180.2"
"227640","168.5","180.4"
"227860","168.5","180.4"
"228068","168.5","180.4"
"228281","168.5","180.4"
"228501","170.2","182.1"
"228722","170.2","182.1"
"228935","170.2","182.1"
"229143","170.2","182.1"
"229361","170.2","182.1"
"229581","170.2","182.1"
"229789","170.2","182.1"
"229997","170.2","182.1"
"230216","170.5","182.3"
"230436","170.5","182.3"
"230653","170.5","182.3"
"230865","170.5","182.3"
"231086","170.5","182.3"
"231303","172.2","184"
"231516","172.2","184"
"231729","172.2","184"
"231948","172.2","183.9"
"232166","172.2","184"
"232384","172.2","184"
"232604","172.2","184"
"232823","172.2","184"
"233030","172.4","184.1"
"233252","172.4","184.2"
"233474","172.4","184.2"
"233685","172.4","184.2"
"233904","174.1","185.8"
"234117","174.1","185.8"
"234326","174.1","185.8"
"234547","174.1","185.8"
"234757","174.1","185.9"
"234974","174.1","185.9"
"235181","174.1","185.8"
"235403","174.1","185.8"
"235621","174.1","185.8"
"235840","174.3","186"
"236051","174.4","186"
"236272","174.3","186"
"236478","174.3","186"
"236692","176.2","187.8"
"236913","176.2","187.8"
"237128","176.2","187.8"
"237346","176.2","187.8"
